event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-29 12:09:13 UTC,2297993157859606924,1515966223509089076,2268105428166508982,electronics.smartphone,samsung,161.78,1515915625442449953
2020-04-29 12:09:53 UTC,2297993489704550822,2273948319115903999,2268105441101742794,appliances.kitchen.blender,polaris,43.96,1515915625446427516
2020-04-29 12:10:33 UTC,2297993830969901527,2273948186710114818,2268105445094720286,,schwiizer,20.81,1515915625452188656
2020-04-29 12:13:52 UTC,2297995500990759592,1515966223509104759,2268105428166508982,electronics.smartphone,samsung,300.90,1515915625452153300
2020-04-29 12:17:26 UTC,2297997293107807087,1515966223509089514,2268105428166508982,electronics.smartphone,samsung,254.61,1515915625445931001
2020-04-29 12:20:08 UTC,2297998653177987103,1515966223509104759,2268105428166508982,electronics.smartphone,samsung,300.90,1515915625452129959
2020-04-29 12:24:04 UTC,2298000635255062805,1515966223509117349,2268105402447037312,appliances.personal.scales,scarlett,18.50,1515915625444748157
2020-04-29 12:25:34 UTC,2298001389550305634,1515966223509088613,2268105430162997728,electronics.audio.headphone,apple,203.68,1515915625452193181
2020-04-29 12:27:02 UTC,2298002125248004522,2273948241915544394,2268105428166508982,electronics.smartphone,apple,346.97,1515915625452195717
2020-04-29 12:27:06 UTC,2298002162359206320,1515966223509616430,2268105393966154464,appliances.kitchen.refrigerators,caso,312.48,1515915625447655362
2020-04-29 12:27:47 UTC,2298002502676644300,1515966223509107888,2268105427260539298,,samsung,18.50,1515915625441373398
2020-04-29 12:27:47 UTC,2298002502676644300,1515966223509088628,2268105428166508982,electronics.smartphone,samsung,856.46,1515915625441373398
2020-04-29 12:30:50 UTC,2298004034688123530,1515966223509262208,2268105428166508982,electronics.smartphone,nokia,83.31,1515915625443079151
2020-04-29 12:31:04 UTC,2298004151876977305,1515966223509089836,2268105428166508982,electronics.smartphone,vivo,208.31,1515915625448248348
2020-04-29 12:31:47 UTC,2298004518056493760,1515966223509106817,2268105426648170900,electronics.tablet,samsung,162.01,1515915625445024267
2020-04-29 12:32:44 UTC,2298004997423497997,2273948312304353950,2268105428166508982,electronics.smartphone,huawei,138.63,1515915625441043792
2020-04-29 12:35:27 UTC,2298006362988217260,1515966223509382227,2268105411523510340,accessories.bag,kingston,6.23,1515915625452198555
2020-04-29 12:36:33 UTC,2298006914606302181,1515966223509090139,2268105428166508982,electronics.smartphone,samsung,138.63,1515915625449928852
2020-04-29 12:37:38 UTC,2298007461744869422,2273948308663698149,2374498914000592280,electronics.video.tv,samsung,381.92,1515915625452192561
2020-04-29 12:42:12 UTC,2298009757589438761,1515966223509104974,2268105406356128718,computers.peripherals.keyboard,,12.71,1515915625451999752
2020-04-29 12:42:12 UTC,2298009757589438761,1515966223509127651,2268105409225031698,computers.peripherals.monitor,aoc,109.24,1515915625451999752
2020-04-29 12:42:12 UTC,2298009757589438761,1515966223509260344,2268105406549066706,computers.peripherals.mouse,logitech,11.55,1515915625451999752
2020-04-29 12:42:12 UTC,2298009757589438761,1515966223509104402,2268105409317306388,,,300.90,1515915625451999752
2020-04-29 12:48:36 UTC,2298012983688692346,1515966223509130844,2268105390484882084,appliances.iron,tefal,81.00,1515915625452171467
2020-04-29 12:51:31 UTC,2298014448792634130,1515966223509105072,2268105440917193414,appliances.kitchen.mixer,maxwell,16.18,1515915625449402523
